descriptor,      target1,         target2
0.6942910000,    1.4494230027,             nan
0.2198329578,    2.5198085612,             nan
0.9964402084,    3.9693563738,             nan
0.1134539995,    2.4388244556,             nan
0.4102801276,    1.9849420281,             nan
0.2229659544,    2.4879431009,             nan
0.2327652708,    2.4727410086,             nan
0.9861928108,    3.6604668853,             nan
0.7876733331,    1.6664465466,             nan
0.4402319002,    1.8651530271,             nan
0.4969327180,             nan,    0.1921072673
0.0647297202,             nan,    0.8317566123
0.0988111466,             nan,    0.7394230791
0.1435566698,             nan,    0.9501056826
0.1985281366,             nan,    0.8433509187
