al,si,k1
6.866975892,9.76051845,0
4.775265481,11.08236183,9.7
5.612737018,9.610577811,0.5
6.787363734,8.361366671,-4.8
4.469772476,9.823900298,6.4
6.790631589,7.48561341,-10.3
4.889794802,9.258743541,3.4
4.992320544,8.461006953,7.3
5.706128205,7.600620936,2.7
4.135486321,7.363225432,16.7
4.272774839,7.250492947,16
4.234293913,7.381484767,16
4.156431472,7.52395373,16
4.098227625,7.656415741,16
4.440902132,7.302022048,14
4.41295811,7.521914779,14
4.316144681,7.768295084,14
4.218945286,7.963454814,14
4.131639515,8.162147829,14
4.648539597,7.35914753,12
4.57234968,7.72357232,12
4.466285906,8.051786965,12
4.359836164,8.328781034,12
4.223641219,8.586638483,12
4.875642673,7.380655771,10
4.828747663,7.704459844,10
4.762001076,8.012660583,10
4.636343035,8.359418943,10
4.519999668,8.632879726,10
4.403270334,8.855119934,10
4.247738436,9.165668148,10
5.063685872,7.456324969,8
5.046214425,7.75658185,8
4.989554446,8.093926162,8
4.932379845,8.362976374,8
4.777233913,8.724745164,8
4.612130029,9.074443905,8
4.466234443,9.354378355,8
4.330039499,9.612235804,8
4.542758865,10.34376553,8
4.712430027,10.60017693,8
4.900987849,10.74414023,8
5.138627828,10.85454938,8
5.300296605,7.43014592,6
5.262909253,7.706262704,6
5.245051839,7.95529901,6
5.177661973,8.178132122,6
5.120101404,8.395961759,6
5.003436398,8.626738729,6
4.896536361,8.84397546,6
4.769913403,9.062682381,6
4.653377052,9.310532877,6
4.585922859,9.524829227,6
4.548535507,9.800946011,6
4.609634108,10.05263832,6
4.729193868,10.20601566,6
4.828709066,10.31817939,6
4.967477125,10.40179244,6
5.096415887,10.49040897,6
5.274565461,10.56254489,6
5.482009942,10.59406008,6
5.649751269,10.5943686,6
5.556887571,7.436643732,4
5.450888124,7.773395139,4
5.393649194,8.033908588,4
5.336281609,8.277348512,4
5.210044618,8.547276009,4
5.083807626,8.817203506,4
4.957184667,9.035910428,4
4.811289082,9.315844878,4
4.803389621,9.576951232,4
4.903741082,9.80009287,4
5.023429497,9.970543741,4
5.162454867,10.08830385,4
5.330968128,10.19105352,4
5.54843489,10.24317553,4
5.746114402,10.28823096,4
5.924006665,10.32621982,4
6.160874709,10.33418783,4
5.744094508,7.401335016,2
5.687048562,7.687458753,2
5.60006443,7.928835581,2
5.483785391,8.210833127,2
5.357484072,8.472223861,2
5.211138191,8.692400973,2
5.123961076,8.908167514,2
5.085866118,9.090379909,2
5.086831035,9.218431348,2
5.15666536,9.319995214,2
5.177610511,9.480723513,2
5.257660099,9.628504477,2
5.376769564,9.722124486,2
5.476284763,9.834288209,2
5.614988493,9.909364502,2
5.723882694,9.956767411,2
5.862329113,9.997696654,2
5.980795299,10.00594904,2
6.129006688,10.03333804,2
6.257237843,10.02805018,2
6.405384904,10.04690242,2
6.523786762,10.04661804,2
5.911578523,7.36749649,0
5.874062515,7.626539749,0
5.796972008,7.871449863,0
5.709859221,8.095753167,0
5.54404773,8.351547519,0
5.42718974,8.556714202,0
5.350099233,8.801624316,0
5.351771758,9.023580144,0
5.432271641,9.231118447,0
5.531979823,9.368892458,0
5.631688006,9.50666647,0
5.780414017,9.602349574,0
5.98811581,9.668011818,0
6.166008073,9.70600068,0
6.353729632,9.738986064,0
6.590404693,9.721343779,0
6.768296956,9.75933264,0
7.014929969,9.753760403,0
6.089728097,7.439632402,-2
5.993686603,7.788453858,-2
5.838090376,8.09046531,-2
5.692259118,8.378936523,-2
5.664636735,8.641513067,-2
5.784453807,8.829037464,-2
5.992219927,8.903236471,-2
6.170369502,8.975372383,-2
6.348840715,9.090192107,-2
6.595859696,9.135840446,-2
6.803497161,9.192965928,-2
6.941750596,9.208284882,-2
6.247704454,7.453481166,-4
6.190336869,7.69692109,-4
6.093266129,7.909154344,-4
5.985980125,8.0751705,-4
5.928226573,8.267389848,-4
5.998446864,8.42017429,-4
6.156809189,8.485243629,-4
6.374018639,8.503218584,-4
6.561740199,8.536203969,-4
6.788907602,8.566248973,-4
6.44467636,7.404632211,-6
6.377350822,7.636002086,-6
6.280087099,7.822625053,-6
6.192781328,8.021318068,-6
6.282338574,8.121411744,-6
6.420849321,8.170877748,-6
6.598355617,8.157646034,-6
6.746309694,8.150887987,-6
6.86445424,8.116456556,-6
6.622439967,7.425547547,-8
6.525240571,7.620707276,-8
6.516504848,7.770835717,-8
6.605869111,7.845319104,-8
6.793269031,7.835620676,-8
6.891754984,7.811196199,-8
