al,si,k1
4.082489599,7.382836708,16.4
4.732182724,7.83782361,18.6
5.6417531,7.642829224,3.9
4.927090662,8.487804898,6.3
6.746231412,7.577831095,-9.8
6.6812621,8.42280677,-4.5
5.836661037,9.072788058,-2.3
4.862121349,9.397778702,5.4
4.472305474,9.852765604,3.4
5.771691725,9.592773088,0
6.811200725,9.787767475,-0.4
4.732182724,11.08773005,8.8
4.732182724,7.577831095,18
4.797152037,7.707827352,18
4.732182724,7.772825481,18
4.602244099,7.83782361,18
4.537274787,7.83782361,18
4.602244099,7.707827352,18
4.017520287,7.31783858,16
3.952550974,7.512832966,16
4.017520287,7.707827352,16
4.017520287,7.902821739,16
4.147458912,8.032817997,16
4.277397537,8.162814254,16
4.407336162,8.162814254,16
4.602244099,8.097816125,16
4.797152037,7.967819868,16
4.862121349,7.772825481,16
4.862121349,7.642829224,16
4.797152037,7.512832966,16
3.952550974,8.357808641,14
4.147458912,8.42280677,14
4.342366849,8.42280677,14
4.537274787,8.292810512,14
4.797152037,8.097816125,14
4.862121349,7.967819868,14
4.927090662,7.707827352,14
4.927090662,7.577831095,14
4.927090662,7.512832966,14
3.952550974,8.617801156,12
4.147458912,8.617801156,12
4.277397537,8.552803027,12
4.472305474,8.487804898,12
4.667213412,8.357808641,12
4.797152037,8.227812383,12
4.927090662,8.032817997,12
4.992059974,7.83782361,12
5.057029287,7.707827352,12
5.057029287,7.577831095,12
4.992059974,7.512832966,12
4.017520287,8.877793671,10
4.277397537,8.747797414,10
4.537274787,8.617801156,10
4.797152037,8.42280677,10
4.927090662,8.227812383,10
5.057029287,7.967819868,10
5.057029287,7.772825481,10
5.057029287,7.642829224,10
5.057029287,7.512832966,10
5.057029287,7.512832966,10
4.082489599,9.137786187,8
4.212428224,8.9427918,8
4.472305474,8.812795542,8
4.602244099,8.682799285,8
4.797152037,8.487804898,8
4.992059974,8.357808641,8
5.057029287,8.162814254,8
5.121998599,7.902821739,8
5.121998599,7.707827352,8
5.121998599,7.512832966,8
4.017520287,10.69774128,8
4.147458912,10.69774128,8
4.342366849,10.69774128,8
4.537274787,10.76273941,8
4.667213412,10.76273941,8
4.797152037,10.89273566,8
4.927090662,10.95773379,8
4.992059974,11.15272818,8
5.121998599,11.15272818,8
5.251937225,11.15272818,8
5.186967912,7.447834837,6
5.251937225,7.577831095,6
5.251937225,7.772825481,6
5.186967912,7.967819868,6
5.186967912,8.162814254,6
5.057029287,8.357808641,6
4.992059974,8.552803027,6
4.797152037,8.812795542,6
4.667213412,8.9427918,6
4.472305474,9.137786187,6
4.277397537,9.332780573,6
4.147458912,9.527774959,6
4.017520287,9.722769346,6
4.082489599,9.917763732,6
4.212428224,10.04775999,6
4.407336162,10.04775999,6
4.472305474,10.11275812,6
4.667213412,10.24275438,6
4.732182724,10.43774876,6
4.602244099,10.17775625,6
4.862121349,10.50274689,6
4.992059974,10.63274315,6
5.121998599,10.69774128,6
5.316906537,10.76273941,6
5.511814475,10.76273941,6
5.6417531,10.82773754,6
5.251937225,7.447834837,4
5.316906537,7.642829224,4
5.316906537,7.902821739,4
5.316906537,8.162814254,4
5.251937225,8.42280677,4
5.121998599,8.682799285,4
4.927090662,8.9427918,4
4.797152037,9.202784315,4
4.732182724,9.397778702,4
4.732182724,9.657771217,4
4.732182724,9.852765604,4
4.862121349,9.917763732,4
5.057029287,10.11275812,4
5.186967912,10.24275438,4
5.316906537,10.37275063,4
5.446845162,10.43774876,4
5.6417531,10.50274689,4
5.836661037,10.50274689,4
6.031568975,10.56774502,4
5.316906537,7.447834837,2
5.38187585,7.577831095,2
5.38187585,7.83782361,2
5.446845162,8.032817997,2
5.446845162,8.357808641,2
5.316906537,8.617801156,2
5.186967912,8.9427918,2
5.057029287,9.202784315,2
5.186967912,9.397778702,2
5.251937225,9.592773088,2
5.38187585,9.722769346,2
5.511814475,9.787767475,2
5.706722412,9.917763732,2
5.90163035,9.982761861,2
6.096538287,10.11275812,2
6.356415537,10.17775625,2
6.486354162,10.17775625,2
5.38187585,7.447834837,0
5.446845162,7.577831095,0
5.511814475,7.772825481,0
5.576783787,7.902821739,0
5.6417531,8.097816125,0
5.6417531,8.292810512,0
5.576783787,8.552803027,0
5.446845162,8.747797414,0
5.38187585,8.9427918,0
5.38187585,9.137786187,0
5.38187585,9.267782444,0
5.446845162,9.397778702,0
5.576783787,9.527774959,0
5.706722412,9.657771217,0
5.836661037,9.657771217,0
6.42138485,9.852765604,0
6.616292787,9.852765604,0
6.811200725,9.917763732,0
6.031568975,9.787767475,0
6.226476912,9.787767475,0
5.511814475,7.447834837,-2
5.511814475,7.577831095,-2
5.6417531,7.772825481,-2
5.771691725,7.902821739,-2
5.90163035,8.032817997,-2
5.771691725,8.292810512,-2
5.706722412,8.487804898,-2
5.6417531,8.682799285,-2
5.576783787,8.877793671,-2
5.706722412,9.072788058,-2
5.836661037,9.137786187,-2
6.031568975,9.267782444,-2
6.226476912,9.267782444,-2
6.42138485,9.267782444,-2
6.616292787,9.267782444,-2
6.876170037,9.137786187,-2
7.071077975,9.007789929,-2
5.6417531,7.382836708,-4
5.6417531,7.577831095,-4
5.706722412,7.707827352,-4
5.90163035,7.83782361,-4
6.031568975,7.902821739,-4
5.966599662,8.097816125,-4
5.90163035,8.357808641,-4
5.90163035,8.487804898,-4
5.90163035,8.617801156,-4
6.031568975,8.682799285,-4
6.1615076,8.682799285,-4
6.291446225,8.682799285,-4
6.42138485,8.552803027,-4
6.551323475,8.552803027,-4
6.616292787,8.617801156,-4
6.746231412,8.552803027,-4
6.876170037,8.487804898,-4
5.966599662,7.577831095,-6
6.096538287,7.642829224,-6
6.226476912,7.772825481,-6
6.291446225,7.83782361,-6
6.226476912,7.967819868,-6
6.226476912,8.162814254,-6
6.291446225,8.292810512,-6
6.42138485,8.292810512,-6
6.6812621,8.227812383,-6
6.811200725,8.097816125,-6
7.006108663,7.902821739,-6
6.226476912,7.31783858,-8
6.291446225,7.447834837,-8
6.356415537,7.512832966,-8
6.486354162,7.642829224,-8
6.486354162,7.83782361,-8
6.551323475,7.967819868,-8
6.746231412,7.83782361,-8
6.94113935,7.707827352,-8
7.071077975,7.577831095,-8
