raw_al,raw_si,al,si,k1
0.180462022,0.07243772,4.085775806,7.429904779,22
0.296738403,0.143484944,4.785369434,7.856545035,26
0.445208817,0.106392553,5.678663111,7.633804349,-8
0.612774671,0.119122511,6.686847255,7.710248048,-11
0.325592422,0.251895836,4.958973801,8.507554996,9
0.245609184,0.477397009,4.477743105,9.861694856,10
0.442189309,0.374132658,5.660495803,9.241589993,-3
0.612218002,0.280214262,6.683497975,8.677607812,-5
0.437904643,0.439808562,5.634716493,9.635975344,-1
0.293879148,0.686819849,4.768166312,11.11928394,8
0.376063759,0.062910386,5.26264189,7.372692916,0
0.399848715,0.111717377,5.405747506,7.665780045,0
0.414263072,0.163902181,5.49247357,7.979151022,0
0.419298398,0.218117703,5.522769333,8.304716512,0
0.421398559,0.303544278,5.535405255,8.817705107,0
0.407734861,0.371250901,5.453195645,9.224284971,0
0.406554048,0.432657646,5.446091111,9.593033923,0
0.422419119,0.466542734,5.541545602,9.796514677,0
0.449164542,0.488179956,5.702463301,9.926446708,0
