al,si,k1
3.820161686,4.248926463,111
4.931085309,4.783198591,9.1
6.890930186,7.528984191,-10.3
6.87100408,8.432207504,-4.8
5.741956836,7.635721122,2.3
4.796763107,7.769098065,22.1
4.130238563,7.429376911,16.7
4.999406914,8.530123393,7.3
5.461904922,9.002853517,0
4.92392475,9.413019058,3.4
4.478513317,9.873028909,6.4
4.79165195,11.07383199,9.7
5.905736095,9.564597149,-0.5
2.642225112,11.10203943,28.6
-0.07881183,9.323704714,160
-0.081676054,11.1756329,107
5.261483357,6.804987356,20
5.001604465,7.109247456,20
4.778886402,7.347234831,20
4.556069573,7.649081798,20
4.370364191,7.916585836,20
4.166140123,8.177313991,20
4.017472112,8.458369793,20
3.813099894,8.814887337,20
5.413139049,4.592178876,10
5.004937828,4.953986204,10
4.708021564,5.24469454,10
4.281128816,5.711480274,10
5.779685573,7.202255738,10
5.48264585,7.572788565,10
5.222717575,7.908978462,10
4.962764608,8.261133257,10
4.777009842,8.560567091,10
4.591131619,8.939825416,10
4.405278087,9.303118842,10
4.293622756,9.613691308,10
4.20046142,9.947004553,10
4.181448903,10.25952663,10
4.180880997,10.62671929,10
4.347252871,10.87928101,10
4.495204826,11.06120726,10
4.643230855,11.19523881,10
6.279986391,7.193625785,0
6.075663557,7.518213533,0
5.852673887,7.931814787,0
5.648276977,8.304297229,0
5.499436126,8.697107319,0
5.48030015,9.089453891,0
5.590992509,9.401512454,0
5.757537224,9.542319886,0
6.109466331,9.623166957,0
7.151179452,6.985250618,-10
6.98406683,7.211635843,-10
6.8169789,7.42205617,-10
6.649792203,7.69633609,-10
6.593890463,7.899517018,-10
6.667767675,8.054339732,-10
6.797349093,8.133700705,-10
7.001227479,8.096481125,-10
7.223624551,8.066037426,-10
7.483083687,8.033180594,-10
7.779703652,7.934051036,-10
7.965088044,7.874090675,-10
