raw_al,raw_si,al,si,k1
0.096947159,0.066458275,4.120582977,7.433932535,1.7
0.230714932,0.230703689,4.995314314,8.50853593,-0.4
0.340291711,0.098605414,5.711856432,7.644260633,-1.4
0.508237263,0.076242045,6.810082366,7.497944504,-5.5
0.508033493,0.208519929,6.808749878,8.363394928,-4.5
0.153377029,0.434837291,4.489587968,9.844114537,-1.2
0.324416179,0.404255132,5.608043494,9.644025587,-3.2
0.523110412,0.421292627,6.907340539,9.755496283,-2.6
0.199299367,0.624212263,4.789882334,11.08313231,-0.4
0.152409636,0.062823207,4.483262014,7.410149489,1
0.143110316,0.099504838,4.422452102,7.650145264,1
0.127654674,0.132581945,4.321384897,7.866557829,1
0.095244959,0.171446258,4.10945199,8.120834168,1
0.23405964,0.059475789,5.017185963,7.388248445,0
0.230906352,0.106442646,4.996566046,7.695537047,0
0.220044796,0.157254724,4.925540391,8.027983658,0
0.201493496,0.199886761,4.804230135,8.306910968,0
0.175244221,0.239683318,4.632581439,8.56728667,0
0.144382335,0.273770166,4.430770058,8.790305637,0
0.118161876,0.294860759,4.259309795,8.928294411,0
0.309514215,0.077910512,5.510596889,7.508860737,-1
0.300202545,0.122608985,5.44970622,7.801308053,-1
0.289345106,0.170748783,5.378707485,8.116270817,-1
0.272331343,0.215284056,5.267451457,8.407650372,-1
0.253788277,0.252571532,5.146195039,8.651609988,-1
0.230622309,0.29083,4.994708638,8.901922487,-1
0.202823147,0.336740162,4.812924957,9.202297485,-1
0.167311601,0.389167826,4.580708619,9.545314339,-1
0.141054092,0.434308944,4.409006085,9.840657735,-1
0.120946732,0.487063007,4.277520466,10.18581011,-1
0.128597367,0.520629712,4.327549337,10.40542596,-1
0.147051927,0.540796267,4.448226998,10.53736905,-1
0.174752292,0.559020837,4.629364625,10.65660638,-1
0.207089966,0.566921432,4.84082645,10.70829736,-1
0.237890104,0.572918792,5.042234047,10.7475361,-1
0.279487991,0.569524421,5.314250055,10.72532786,-1
0.313387902,0.563294569,5.535927623,10.684568,-1
0.353454427,0.553988541,5.79792978,10.62368174,-1
0.368051766,0.078081917,5.893384383,7.509982181,-2
0.346410985,0.126260463,5.751871454,7.825198465,-2
0.327845278,0.178245482,5.630466981,8.165319239,-2
0.306185972,0.23844929,5.488832917,8.559212835,-2
0.292236992,0.293471737,5.397618048,8.919206497,-2
0.275217055,0.342015431,5.286321642,9.236811823,-2
0.253590682,0.380840995,5.144902929,9.490834642,-2
0.222710271,0.426953106,4.942970413,9.792530921,-2
0.216477792,0.47278577,4.90221512,10.09239888,-2
0.231857278,0.489145853,5.002784323,10.19943748,-2
0.253407495,0.499757477,5.143705036,10.26886583,-2
0.287301231,0.497536047,5.365342225,10.25433175,-2
0.310407509,0.498025646,5.516438302,10.25753503,-2
0.356634473,0.489651861,5.81872467,10.20274813,-2
0.396696882,0.483018114,6.080699909,10.15934572,-2
0.432144621,0.472010798,6.312499003,10.08732849,-2
0.464506995,0.46387771,6.524122342,10.03411639,-2
0.405016459,0.08233924,6.13510311,7.537836434,-3
0.384925565,0.124404181,6.003725166,7.813053422,-3
0.366378382,0.164363937,5.882441829,8.074496885,-3
0.346277196,0.213109579,5.750996588,8.393423491,-3
0.32615337,0.276552764,5.619403292,8.808511255,-3
0.313748102,0.329470026,5.538283031,9.154731392,-3
0.313686353,0.369554234,5.537879247,9.416989097,-3
0.315170375,0.406197116,5.547583529,9.656731352,-3
0.339799782,0.417942933,5.708639617,9.733580344,-3
0.369072674,0.415356355,5.900060283,9.716657219,-3
0.398351741,0.408761356,6.091521328,9.673508323,-3
0.432249594,0.403867645,6.313185436,9.641490393,-3
0.464611968,0.395734558,6.524808775,9.588278293,-3
0.496972284,0.388937611,6.736418655,9.543808118,-3
0.53550333,0.376392206,6.988380044,9.461727687,-3
0.44970177,0.0747345,6.427308332,7.488081137,-4
0.418811068,0.127527311,6.225308518,7.833487032,-4
0.401797306,0.172062584,6.11405249,8.124866587,-4
0.383231599,0.224047603,5.992648018,8.464987362,-4
0.383171908,0.26279567,5.992257693,8.718503143,-4
0.390836952,0.287009394,6.042380781,8.876925526,-4
0.412391285,0.294948738,6.183328413,8.928870028,-4
0.449374503,0.287180799,6.425168275,8.87804697,-4
0.480207573,0.271799914,6.626791224,8.777414932,-4
0.518742736,0.256582229,6.878779531,8.677850654,-4
0.491305832,0.067331708,6.699364718,7.43964712,-5
0.472756591,0.108627605,6.578067921,7.709832506,-5
0.466548811,0.138426586,6.537474142,7.904797384,-5
0.4757658,0.155190565,6.597745675,8.014478548,-5
0.514294788,0.143981301,6.849693604,7.941140041,-5
0.464984517,0.153893173,6.52724494,8.005990144,-5
