al,si,k1
6.209721313,7.564621724,-4
6.183473233,7.732213674,-4
6.147165161,7.856188369,-4
6.063638882,7.995992133,-4
5.943166926,8.211374313,-4
5.897967803,8.380458263,-4
5.956521212,8.505039007,-4
6.070971342,8.552549334,-4
6.185315204,8.591993615,-4
6.299659066,8.631437897,-4
6.498804417,8.627870971,-4
6.660153951,8.635354091,-4
6.067747893,7.58791079,-2
6.041074743,7.723238555,-2
5.976605775,7.869616365,-2
5.902926954,8.036905291,-2
5.810084555,8.189554124,-2
5.689718867,8.413002351,-2
5.606617658,8.5850703,-2
5.599214353,8.743104204,-2
5.685716123,8.82914974,-2
5.781852815,8.926548345,-2
5.915360255,8.98063272,-2
6.020387997,9.03292207,-2
6.115568282,9.057726258,-2
6.210854834,9.090596492,-2
6.334621084,9.125261751,-2
6.439542558,9.169485055,-2
5.813130891,7.700812317,0
5.796730269,7.895889431,0
5.705056813,8.137264774,0
5.565952617,8.378337093,0
5.436058272,8.598498296,0
5.334962429,8.844652662,0
5.299504496,9.033155728,0
5.32058089,9.192984656,0
5.388662954,9.320852424,0
5.475377258,9.423030052,0
5.543034253,9.518633634,0
5.648380797,9.595121123,0
5.744517489,9.692519729,0
5.840016576,9.741522056,0
5.925987008,9.787237359,0
5.538606439,7.742611427,4
5.493832386,7.943959562,4
5.429469686,8.098403419,4
5.346155942,8.254339275,4
5.207051745,8.495411594,4
5.086579789,8.710793774,4
4.947688127,8.967998186,4
4.845954678,9.165756274,4
4.78191078,9.34439827,4
4.75523763,9.479726034,4
4.757575516,9.657179055,4
4.825870115,9.801178915,4
4.893845912,9.920980636,4
4.989982604,10.01837924,4
5.057427063,10.09785073,4
5.172195995,10.1695592,4
5.324760746,10.23021762,4
5.410837445,10.28399897,4
5.396207949,7.733636307,8
5.303896888,7.926615372,8
5.183743734,8.166195691,8
5.034898347,8.387848894,8
4.88605296,8.609502097,8
4.755627278,8.789333068,8
4.644258906,8.975738086,8
4.53310307,9.178275196,8
4.412631113,9.393657377,8
4.302006615,9.636524719,8
5.273504374,7.779631513,10
5.199825553,7.946920439,10
5.088563449,8.141391503,10
4.977195078,8.327796521,10
4.855979249,8.486716377,10
4.706389989,8.651907255,10
4.556481926,8.792899993,10
4.416102519,8.937179755,10
4.275616845,9.073393471,10
4.16307953,9.171071979,10
